Messstelle:                Zwettl (Sportplatzbrücke)
HZB-Nummer:                207936
HD-Nummer:                 no260
DBMS-Nummer:               3001033
Gewässer:                  Zwettl
Sachgebiet:                OWF
Dienststelle:              HD-Niederösterreich
Messstellenbetreiber:      Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: 269.10
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   07.06.1950              516.00
   01.01.1977              514.41
   31.10.1984              514.00
   05.06.1986              514.66
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   31.10.1984              15 09 41                 48 36 30
Exportzeitreihe:           Abgeleitete Intervallzeitreihe
                           Abfluss,I,Mit,T,1,M,Z,0,,,
Ursprungszeitreihe:        Abfluss,K,,,0,F,Z,0,,, - Hauptreihe
Transformation:            Mittel
Mittelungsintervall:       1 Tag
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            01.01.2012 00:00 bis 01.01.2016 00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               3 Nachkommast.
26.02.2013 00:00:00        2.532
27.02.2013 00:00:00        2.625
28.02.2013 00:00:00        2.609
01.03.2013 00:00:00        2.611
02.03.2013 00:00:00        2.616
03.03.2013 00:00:00        2.642
04.03.2013 00:00:00        2.624
05.03.2013 00:00:00        2.744
06.03.2013 00:00:00        3.264
07.03.2013 00:00:00        3.870
08.03.2013 00:00:00        4.565
09.03.2013 00:00:00        5.990
10.03.2013 00:00:00        7.362
11.03.2013 00:00:00        7.448
12.03.2013 00:00:00        6.388
13.03.2013 00:00:00        5.684
14.03.2013 00:00:00        5.623
15.03.2013 00:00:00        5.276
16.03.2013 00:00:00        4.861
17.03.2013 00:00:00        4.601
18.03.2013 00:00:00        4.695
19.03.2013 00:00:00        4.674
20.03.2013 00:00:00        4.824
21.03.2013 00:00:00        5.112
22.03.2013 00:00:00        4.560
23.03.2013 00:00:00        4.262
24.03.2013 00:00:00        3.858
25.03.2013 00:00:00        3.565
26.03.2013 00:00:00        3.500
27.03.2013 00:00:00        3.425
28.03.2013 00:00:00        3.201
29.03.2013 00:00:00        3.134
30.03.2013 00:00:00        3.133
31.03.2013 00:00:00        3.177
01.04.2013 00:00:00        3.024
02.04.2013 00:00:00        2.882
03.04.2013 00:00:00        2.901
04.04.2013 00:00:00        2.929
05.04.2013 00:00:00        2.802
06.04.2013 00:00:00        2.733
07.04.2013 00:00:00        2.702
08.04.2013 00:00:00        2.914
09.04.2013 00:00:00        4.090
10.04.2013 00:00:00        6.765
11.04.2013 00:00:00        8.036
12.04.2013 00:00:00        7.846
13.04.2013 00:00:00        7.287
14.04.2013 00:00:00        6.644
15.04.2013 00:00:00        6.186
16.04.2013 00:00:00        6.019
17.04.2013 00:00:00        5.684
18.04.2013 00:00:00        5.475
19.04.2013 00:00:00        5.418
20.04.2013 00:00:00        5.420
21.04.2013 00:00:00        5.054
22.04.2013 00:00:00        4.480
23.04.2013 00:00:00        4.211
24.04.2013 00:00:00        3.966
25.04.2013 00:00:00        3.784
26.04.2013 00:00:00        3.572
27.04.2013 00:00:00        3.279
28.04.2013 00:00:00        2.992
29.04.2013 00:00:00        2.860
30.04.2013 00:00:00        2.796
01.05.2013 00:00:00        2.623
02.05.2013 00:00:00        2.709
03.05.2013 00:00:00        9.171
04.05.2013 00:00:00        5.065
05.05.2013 00:00:00        5.897
06.05.2013 00:00:00        4.401
07.05.2013 00:00:00        4.364
08.05.2013 00:00:00        4.090
09.05.2013 00:00:00        3.617
10.05.2013 00:00:00        3.345
11.05.2013 00:00:00        3.534
12.05.2013 00:00:00        3.720
13.05.2013 00:00:00        3.561
14.05.2013 00:00:00        3.464
15.05.2013 00:00:00        3.104
16.05.2013 00:00:00        2.787
17.05.2013 00:00:00        2.598
18.05.2013 00:00:00        2.770
19.05.2013 00:00:00        2.462
20.05.2013 00:00:00        2.333
21.05.2013 00:00:00        2.270
22.05.2013 00:00:00        2.448
23.05.2013 00:00:00        2.160
24.05.2013 00:00:00        2.028
25.05.2013 00:00:00        2.197
26.05.2013 00:00:00        2.186
27.05.2013 00:00:00        2.059
28.05.2013 00:00:00        2.141
29.05.2013 00:00:00        2.026
30.05.2013 00:00:00        2.075
31.05.2013 00:00:00        6.848
01.06.2013 00:00:00        6.834
02.06.2013 00:00:00       19.424
03.06.2013 00:00:00       19.973
04.06.2013 00:00:00       23.387
05.06.2013 00:00:00       17.812
06.06.2013 00:00:00       14.152
07.06.2013 00:00:00       12.256
08.06.2013 00:00:00       10.739
09.06.2013 00:00:00        9.741
10.06.2013 00:00:00       11.586
11.06.2013 00:00:00       18.013
12.06.2013 00:00:00       11.323
13.06.2013 00:00:00        9.146
14.06.2013 00:00:00        8.061
15.06.2013 00:00:00        7.320
16.06.2013 00:00:00        6.469
17.06.2013 00:00:00        5.833
18.06.2013 00:00:00        5.413
19.06.2013 00:00:00        4.769
20.06.2013 00:00:00        4.388
21.06.2013 00:00:00        4.009
22.06.2013 00:00:00        3.750
23.06.2013 00:00:00        3.954
24.06.2013 00:00:00        6.298
25.06.2013 00:00:00       15.338
26.06.2013 00:00:00       12.103
27.06.2013 00:00:00        7.626
28.06.2013 00:00:00        6.380
29.06.2013 00:00:00        5.616
30.06.2013 00:00:00        5.119
01.07.2013 00:00:00        4.546
02.07.2013 00:00:00        4.005
03.07.2013 00:00:00        3.863
04.07.2013 00:00:00        3.839
05.07.2013 00:00:00        2.977
06.07.2013 00:00:00        3.634
07.07.2013 00:00:00        4.170
08.07.2013 00:00:00        3.235
09.07.2013 00:00:00        2.967
10.07.2013 00:00:00        2.751
11.07.2013 00:00:00        4.688
12.07.2013 00:00:00        3.196
13.07.2013 00:00:00        2.732
14.07.2013 00:00:00        2.578
15.07.2013 00:00:00        2.355
16.07.2013 00:00:00        2.185
17.07.2013 00:00:00        2.006
18.07.2013 00:00:00        1.873
19.07.2013 00:00:00        1.798
20.07.2013 00:00:00        1.703
21.07.2013 00:00:00        1.675
22.07.2013 00:00:00        1.571
23.07.2013 00:00:00        1.463
24.07.2013 00:00:00        1.379
25.07.2013 00:00:00        1.404
26.07.2013 00:00:00        1.414
27.07.2013 00:00:00        1.232
28.07.2013 00:00:00        1.177
29.07.2013 00:00:00        1.083
30.07.2013 00:00:00        1.427
31.07.2013 00:00:00        1.219
01.08.2013 00:00:00        1.078
02.08.2013 00:00:00        0.997
03.08.2013 00:00:00        0.949
04.08.2013 00:00:00        3.269
05.08.2013 00:00:00        3.706
06.08.2013 00:00:00        1.569
07.08.2013 00:00:00        1.221
08.08.2013 00:00:00        1.055
09.08.2013 00:00:00        1.064
10.08.2013 00:00:00        2.294
11.08.2013 00:00:00        1.506
12.08.2013 00:00:00        1.159
13.08.2013 00:00:00        1.014
14.08.2013 00:00:00        0.908
15.08.2013 00:00:00        0.921
16.08.2013 00:00:00        0.862
17.08.2013 00:00:00        0.833
18.08.2013 00:00:00        0.818
19.08.2013 00:00:00        0.940
20.08.2013 00:00:00        1.547
21.08.2013 00:00:00        1.041
22.08.2013 00:00:00        0.869
23.08.2013 00:00:00        0.811
24.08.2013 00:00:00        0.768
